model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../01_rigidbody/rigidbody_81.pdb	-	45	2.274	10.551	0.052	19.395	18.606	0.078	10.749	-	-	-	845.932	1334.100	201.971	1111.050	0.000	0.000	0.000	13.022	2032.780	-7.963	5372.900	0.000	0.000	0.000	824.639	-13.331	0.000	0.000
../01_rigidbody/rigidbody_22.pdb	-	46	2.301	14.756	0.069	23.484	22.622	0.065	14.375	-	-	-	1080.450	1334.100	201.957	1218.390	0.000	0.000	0.000	11.442	2032.770	-7.980	5372.900	0.000	0.000	0.000	1094.300	21.828	0.000	0.000
../01_rigidbody/rigidbody_32.pdb	-	47	2.353	6.273	0.121	19.664	14.895	0.111	6.671	-	-	-	1089.970	1334.100	201.961	1039.250	0.000	0.000	0.000	3.163	2032.780	-1.424	5372.900	0.000	0.000	0.000	1099.190	10.649	0.000	0.000
../01_rigidbody/rigidbody_78.pdb	-	48	2.717	10.816	0.034	19.772	18.972	0.070	10.951	-	-	-	1218.050	1334.100	201.938	1187.470	0.000	0.000	0.000	12.035	2032.770	-9.911	5372.900	0.000	0.000	0.000	1236.860	28.719	0.000	0.000
../01_rigidbody/rigidbody_37.pdb	-	49	2.821	10.688	0.052	19.867	18.815	0.075	10.914	-	-	-	1204.660	1334.100	201.982	1175.370	0.000	0.000	0.000	10.759	2032.770	-8.444	5372.900	0.000	0.000	0.000	1217.540	21.321	0.000	0.000
../01_rigidbody/rigidbody_11.pdb	-	50	2.829	10.591	0.052	19.647	18.677	0.076	10.815	-	-	-	1326.700	1334.100	201.949	1148.340	0.000	0.000	0.000	9.086	2032.770	-8.169	5372.900	0.000	0.000	0.000	1331.360	12.828	0.000	0.000
../01_rigidbody/rigidbody_68.pdb	-	51	2.904	10.546	0.052	19.231	18.571	0.078	10.718	-	-	-	922.058	1334.100	201.951	1094.030	0.000	0.000	0.000	12.601	2032.780	-7.904	5372.900	0.000	0.000	0.000	906.890	-7.264	0.000	0.000
../01_rigidbody/rigidbody_27.pdb	-	52	3.061	15.011	0.069	23.791	21.878	0.064	14.466	-	-	-	891.513	1334.100	201.963	1675.780	0.000	0.000	0.000	13.525	2032.770	-2.763	5372.900	0.000	0.000	0.000	902.970	14.220	0.000	0.000
../01_rigidbody/rigidbody_69.pdb	-	53	3.223	14.775	0.069	23.460	22.590	0.065	14.390	-	-	-	1295.370	1334.100	201.955	1167.960	0.000	0.000	0.000	10.908	2032.780	-9.189	5372.900	0.000	0.000	0.000	1309.160	22.980	0.000	0.000
../01_rigidbody/rigidbody_26.pdb	-	54	3.302	14.775	0.069	23.437	22.565	0.065	14.389	-	-	-	1351.830	1334.100	201.960	1158.500	0.000	0.000	0.000	10.208	2032.770	-9.047	5372.900	0.000	0.000	0.000	1363.510	20.728	0.000	0.000
../01_rigidbody/rigidbody_33.pdb	-	55	3.662	6.053	0.155	14.172	12.322	0.159	6.289	-	-	-	1467.590	1334.100	201.959	1062.390	0.000	0.000	0.000	2.525	2032.770	-3.152	5372.900	0.000	0.000	0.000	1488.080	23.643	0.000	0.000
../01_rigidbody/rigidbody_51.pdb	-	56	3.821	14.837	0.069	23.101	21.927	0.066	14.301	-	-	-	751.555	1334.100	201.961	1346.260	0.000	0.000	0.000	11.541	2032.770	-1.942	5372.900	0.000	0.000	0.000	766.466	16.853	0.000	0.000
../01_rigidbody/rigidbody_100.pdb	-	57	3.859	10.698	0.052	20.005	18.846	0.075	10.957	-	-	-	1239.320	1334.100	201.967	1105.290	0.000	0.000	0.000	9.827	2032.770	-7.434	5372.900	0.000	0.000	0.000	1244.410	12.519	0.000	0.000
../01_rigidbody/rigidbody_65.pdb	-	58	3.881	10.774	0.052	19.754	18.913	0.076	10.951	-	-	-	1159.200	1334.100	201.952	1158.100	0.000	0.000	0.000	13.051	2032.770	-9.390	5372.900	0.000	0.000	0.000	1170.700	20.892	0.000	0.000
../01_rigidbody/rigidbody_9.pdb	-	59	3.892	3.247	0.293	8.966	7.511	0.314	3.438	-	-	-	837.889	1334.100	201.960	1007.340	0.000	0.000	0.000	11.985	2032.770	-6.404	5372.900	0.000	0.000	0.000	831.940	0.455	0.000	0.000
../01_rigidbody/rigidbody_98.pdb	-	60	3.934	10.731	0.052	19.824	18.853	0.075	10.935	-	-	-	1149.000	1334.100	201.957	1165.210	0.000	0.000	0.000	12.811	2032.770	-8.859	5372.900	0.000	0.000	0.000	1154.660	14.519	0.000	0.000
../01_rigidbody/rigidbody_12.pdb	-	61	3.973	14.714	0.052	24.953	24.371	0.055	14.689	-	-	-	1377.330	1334.100	201.942	1237.670	0.000	0.000	0.000	2.136	2032.780	0.221	5372.900	0.000	0.000	0.000	1399.570	22.013	0.000	0.000
../01_rigidbody/rigidbody_10.pdb	-	62	4.042	14.773	0.069	23.433	22.592	0.065	14.379	-	-	-	1283.500	1334.100	201.975	1195.890	0.000	0.000	0.000	11.624	2032.770	-8.799	5372.900	0.000	0.000	0.000	1308.890	34.189	0.000	0.000
../01_rigidbody/rigidbody_14.pdb	-	63	4.055	14.825	0.069	23.228	21.957	0.066	14.327	-	-	-	1018.980	1334.100	201.955	1270.770	0.000	0.000	0.000	8.652	2032.780	-2.285	5372.900	0.000	0.000	0.000	1037.320	20.624	0.000	0.000
../01_rigidbody/rigidbody_58.pdb	-	64	4.097	14.791	0.069	23.454	22.589	0.065	14.387	-	-	-	1394.630	1334.100	201.955	1152.030	0.000	0.000	0.000	9.861	2032.770	-8.393	5372.900	0.000	0.000	0.000	1406.570	20.334	0.000	0.000
../01_rigidbody/rigidbody_42.pdb	-	65	4.404	14.770	0.069	23.326	22.557	0.065	14.384	-	-	-	1130.690	1334.100	201.950	1147.640	0.000	0.000	0.000	13.395	2032.780	-9.091	5372.900	0.000	0.000	0.000	1148.510	26.910	0.000	0.000
../01_rigidbody/rigidbody_5.pdb	-	66	4.428	4.191	0.224	9.024	7.984	0.269	4.596	-	-	-	1218.750	1334.100	201.963	1268.570	0.000	0.000	0.000	13.102	2032.770	-8.514	5372.900	0.000	0.000	0.000	1244.100	33.861	0.000	0.000
../01_rigidbody/rigidbody_61.pdb	-	67	4.591	10.773	0.034	19.589	18.893	0.071	10.905	-	-	-	1270.540	1334.100	201.958	1151.670	0.000	0.000	0.000	12.953	2032.770	-9.704	5372.900	0.000	0.000	0.000	1276.200	15.370	0.000	0.000
../01_rigidbody/rigidbody_91.pdb	-	68	4.768	3.913	0.224	8.115	8.248	0.292	3.593	-	-	-	1061.440	1334.100	201.934	1419.790	0.000	0.000	0.000	6.604	2032.770	1.677	5372.900	0.000	0.000	0.000	1070.100	6.987	0.000	0.000
../01_rigidbody/rigidbody_38.pdb	-	69	4.847	4.188	0.224	9.058	7.979	0.269	4.600	-	-	-	1303.250	1334.100	201.969	1282.490	0.000	0.000	0.000	12.791	2032.770	-8.567	5372.900	0.000	0.000	0.000	1336.250	41.563	0.000	0.000
../01_rigidbody/rigidbody_88.pdb	-	70	4.915	14.777	0.069	23.382	22.571	0.065	14.380	-	-	-	1506.150	1334.100	201.950	1200.110	0.000	0.000	0.000	10.621	2032.780	-9.220	5372.900	0.000	0.000	0.000	1542.300	45.361	0.000	0.000
../01_rigidbody/rigidbody_6.pdb	-	71	4.956	5.918	0.155	13.117	11.831	0.170	6.102	-	-	-	1516.100	1334.100	201.969	1090.350	0.000	0.000	0.000	3.519	2032.780	-3.069	5372.900	0.000	0.000	0.000	1537.820	24.792	0.000	0.000
../01_rigidbody/rigidbody_48.pdb	-	72	5.048	14.984	0.069	23.868	21.866	0.064	14.482	-	-	-	1021.690	1334.100	201.958	1659.470	0.000	0.000	0.000	13.789	2032.770	-2.431	5372.900	0.000	0.000	0.000	1026.010	6.748	0.000	0.000
../01_rigidbody/rigidbody_1.pdb	-	73	5.082	6.211	0.121	19.190	14.653	0.113	6.571	-	-	-	1434.940	1334.100	201.947	1029.060	0.000	0.000	0.000	2.554	2032.770	-1.696	5372.900	0.000	0.000	0.000	1449.770	16.525	0.000	0.000
../01_rigidbody/rigidbody_24.pdb	-	74	5.222	14.777	0.069	23.340	22.559	0.065	14.380	-	-	-	1323.370	1334.100	201.952	1185.750	0.000	0.000	0.000	12.232	2032.770	-8.687	5372.900	0.000	0.000	0.000	1344.770	30.087	0.000	0.000
../01_rigidbody/rigidbody_25.pdb	-	75	5.256	10.746	0.034	19.444	18.842	0.071	10.851	-	-	-	1213.790	1334.100	201.965	1111.480	0.000	0.000	0.000	13.554	2032.770	-9.508	5372.900	0.000	0.000	0.000	1222.980	18.698	0.000	0.000
../01_rigidbody/rigidbody_80.pdb	-	76	5.433	9.807	0.069	18.483	17.748	0.089	9.918	-	-	-	1700.070	1334.100	201.953	1171.480	0.000	0.000	0.000	8.984	2032.770	-9.167	5372.900	0.000	0.000	0.000	1723.860	32.957	0.000	0.000
../01_rigidbody/rigidbody_59.pdb	-	77	5.774	5.990	0.155	13.602	12.066	0.165	6.200	-	-	-	1713.080	1334.100	201.958	1075.330	0.000	0.000	0.000	2.241	2032.780	-3.190	5372.900	0.000	0.000	0.000	1744.470	34.577	0.000	0.000
